ID,Edad,Tipo_Trabajo,Estado_Civil,Educacion,Incumplimiento,Vivienda,Consumo,Contacto,Mes,Dias,Campana,Dias_Ultima_Camp,No_Contactos,Resultado_Anterior,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
14110,44,admin.,married,university.degree,no,yes,yes,cellular,jul,mon,4,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,0
13250,38,blue-collar,married,high.school,no,yes,no,cellular,jul,wed,5,999,0,nonexistent,1.4,93918.0,-42.7,4963.0,5228.1,0
13728,52,blue-collar,single,unknown,unknown,no,yes,cellular,jul,fri,11,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,0
27503,40,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92893.0,-46.2,1266.0,5099.1,0
17265,31,admin.,single,university.degree,no,no,yes,cellular,aug,tue,2,999,0,nonexistent,1.4,93444.0,-36.1,4963.0,5228.1,0
25436,33,admin.,single,university.degree,no,yes,no,cellular,may,thu,4,999,1,failure,-1.8,92893.0,-46.2,1327.0,5099.1,0
29516,29,admin.,single,high.school,no,yes,yes,cellular,jun,mon,2,999,0,nonexistent,-2.9,92963.0,-40.8,1.26,5076.2,1
9633,36,admin.,married,university.degree,no,yes,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94465.0,-41.8,4958.0,5228.1,0
2185,36,admin.,married,university.degree,unknown,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93994.0,-36.4,4859.0,5191.0,0
9136,25,blue-collar,single,basic.9y,no,yes,yes,telephone,jun,thu,4,999,0,nonexistent,1.4,94465.0,-41.8,4961.0,5228.1,0
12542,24,services,married,high.school,no,yes,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93918.0,-42.7,4.96,5228.1,0
20972,31,admin.,married,university.degree,no,no,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
31055,26,student,single,university.degree,no,no,no,cellular,nov,fri,1,7,1,success,-3.4,92649.0,-30.1,0.7140000000000001,5017.5,1
2947,52,blue-collar,married,basic.4y,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93994.0,-36.4,4859.0,5191.0,0
27021,43,blue-collar,married,basic.4y,no,no,yes,cellular,may,wed,1,999,1,failure,-1.8,92893.0,-46.2,1281.0,5099.1,0
30582,80,retired,divorced,basic.4y,no,no,no,cellular,oct,tue,1,999,0,nonexistent,-3.4,92431.0,-26.9,0.7440000000000001,5017.5,0
11527,52,blue-collar,married,unknown,no,no,yes,cellular,jul,mon,11,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,0
25852,40,blue-collar,married,basic.4y,no,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92893.0,-46.2,1313.0,5099.1,0
18099,56,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,fri,4,999,0,nonexistent,1.4,93444.0,-36.1,4964.0,5228.1,0
4577,46,admin.,single,high.school,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
29412,28,student,single,high.school,no,yes,no,cellular,jun,fri,3,999,0,nonexistent,-2.9,92963.0,-40.8,1268.0,5076.2,1
31835,56,unemployed,married,basic.9y,no,no,no,cellular,may,mon,1,999,1,failure,-1.8,93876.0,-40.0,0.701,5008.7,1
6909,53,management,married,university.degree,no,unknown,unknown,telephone,jun,wed,1,999,0,nonexistent,1.4,94465.0,-41.8,4864.0,5228.1,0
3155,47,management,married,basic.4y,unknown,no,no,telephone,may,mon,6,999,0,nonexistent,1.1,93994.0,-36.4,4858.0,5191.0,0
5059,39,management,divorced,university.degree,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
1956,28,admin.,married,university.degree,no,unknown,unknown,telephone,may,tue,2,999,0,nonexistent,1.1,93994.0,-36.4,4856.0,5191.0,0
3229,43,management,married,university.degree,no,unknown,unknown,telephone,may,mon,3,999,0,nonexistent,1.1,93994.0,-36.4,4858.0,5191.0,0
16395,37,technician,married,high.school,unknown,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93444.0,-36.1,4966.0,5228.1,0
16254,51,housemaid,married,basic.4y,unknown,no,no,cellular,aug,mon,7,999,0,nonexistent,1.4,93444.0,-36.1,4965.0,5228.1,0
19023,33,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,1,999,0,nonexistent,1.4,93444.0,-36.1,4962.0,5228.1,0
31535,33,admin.,single,university.degree,no,yes,no,cellular,apr,tue,3,999,0,nonexistent,-1.8,93749.0,-34.6,0.638,5008.7,1
551,26,unemployed,single,basic.9y,no,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
4675,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,0
10441,25,blue-collar,single,basic.4y,no,yes,yes,cellular,jul,tue,3,999,0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,0
12804,43,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93918.0,-42.7,4.96,5228.1,0
15069,36,admin.,single,university.degree,no,no,no,cellular,jul,thu,16,999,0,nonexistent,1.4,93918.0,-42.7,4968.0,5228.1,0
